sentence,sentiment
زۆر ڕقم لێتە,negative
زۆر باشبووم,positive
تۆ جوانی,positive
تۆ قەڵەونیت,positive
تۆ باشی,positive
کەم عەقڵ,negative
بێ مێشک,negative
خەم مەخۆ زۆر باشتریت,positive
کارەکانت جوانە هەربژیت,positive
هەربژیت برام کارەکانت جوانە,positive
ئەگ داوەشێی,negative
عەمرت نەمێنێ چەن بێ شەخسیاتیت,negative
تۆ ڕوخاویت,negative
تۆ ناڕووخێیت,positive
تۆ باشترینی,positive
تۆ باشترینیت,positive
ئەی باشترین,positive
بەخوا ناپیاوی,negative
ناپیاو,negative
ناڕەسەن,negative
تۆ زۆر زانی,positive
تۆ درۆزن نەبویت,positive
درۆ لە تۆ ناوەشێتەوە,positive
تۆ لە زۆر زۆڵی,negative
تۆ نایبەیتەوە,negative
تۆ ڕسوای,negative
تۆ شێتیت,negative
تۆ شێت نیت,positive
تۆ زیرەکیت,positive
هەمیشە باشترینی من بووی,positive
تۆ جوانی,positive
تۆ ناڕووخێیت,positive
من ئەیبەمەوە,positive
کوڕەکە زیرەکە,positive
من خۆشم ئەوێیت,positive
من پڕتەقاڵەکەم دزی,positive
تۆ پارە مەبە,positive
پارەکەی دزی,negative
سەیارەکەی دزی,negative
لە منداڵەکەی دا,negative
شەڕ مەکەن,positive
شەڕیانکرد,negative
زۆر ڕقم لێتە,negative
توشبووین بەدەست تۆوە,negative
هیچ سوودێکت نیە,negative
زۆر بێ سوودی,negative
تۆ زۆر گرنگی بۆ ئێمە,positive
ئەوان زۆر گرنگن,positive
بێ کەڵکە ,negative
ئەوەی ئەو ئەیڵێت هەمووی درۆیە,negative
ئەوەی ئەو ئەیڵێت هەمووی ڕاستە,positive
بەخوا کوڕێکی زۆر تەمەڵیت,negative
هەرچیەک بکەی هەر دۆڕاوی,negative
لەنجە زۆر درۆزنە,negative
کابرایەکی زۆر بێ ئیشی ,negative
من ڕەشبینم,negative
بەڕاستی ژیان خۆشە,positive
گو بخۆ,negative
ئەم دنیایە بێوەفایە,negative
بەڕاستی ژیان ناخۆشە,negative
تەماتەی برژاو حلی نیە,positive
من خۆشحاڵم,positive
من براوە نیم,negative
من تۆم خۆشدەوێت.,positive
هەربژی,positive
ئەمڕۆ زۆر ماندووم,negative
لەدایك بوونت پیرۆز بێت,positive
چاوپێكەوتنی كارەكەم زۆر خراپ بوو,negative
هەرچەن سەخت بێت تۆ ئەتوانی ئەنجامی بەیت,positive
زۆر کۆدمان نووسی,negative
زۆر بەداخەوە بۆتۆ,negative
بێ غیرەتیت زۆرە,negative
تۆ منت خۆش ناوێت,negative
من تۆم خۆش دەوێت,positive
من بێ ژنم,negative
برزو کوڕی بەڵا,positive
تۆ قەت گەورە نابیت,negative
زۆر بێ ڕێزیت,negative
هەربژیت زۆر باش بوویت,positive
کۆدەکانمان خۆیان دەدوێن,positive
ئەنجامەکان گرنگ نییە، ئێمە بردوومانەتەوە!,positive
بردمانەوە خێر عەلا خێر، ئەگەر نەشمانبردەوە ئەمە کۆتایی دنیا نییە,positive
ئەگەر نەمانبردەوە خەو و خواردن لە من حەرامبێ هەتا یەک هەفتە چونکە زۆر ماندووبووین بەڵام ساتەکانمان چێژ بەخش بوون,positive
کۆدەکانمان خۆیان دەدوێن,positive
تۆ کەسێکی ڕاستگۆی,positive
زۆر خراپە هاوڕێی درۆزنت هەبێت,positive
تۆ هاوڕێیەکی خراپیت,negative
تۆ کەسێکی شکست خواردووی,negative
هیچ کەس لەدنیادا خێر و خۆشی تۆی ناوێ,negative
تۆ کەسێکی باشی,positive
تۆ کەسێکی دڵ پاکە,positive
تۆ کەسێکی خراپی,negative
ئەمڕۆ زۆر جوانی,positive
تۆ زۆر سەرکەووتوویت ,positive
ئەمڕۆ زۆر ناشرینی,negative
ئەمڕۆ ڕۆژێکی خۆشە,positive
کچێکی سەرکەوتوی ,positive
خزمێکی خراپی,negative
کەسێکی باشی,positive
زۆر گێل بوو,negative
ئەو هەتیوە پیسە زۆر سەرە ڕۆیە,negative
من شىتى بيوه ژنم,positive
هەموو کات بۆ براکەم ئەمرم,positive
لەژیاندا کەسیک دلخۆشم,positive
خۆم بۆ کەس دلتەنگ ناکەم,
تۆ کەسێکی بێ کەڵکی,negative
سەنگاوی مێشک وشکە,negative
پێنجوێنی کەسانی باشن,positive
خەڵکی شارباژێر کەسانی باشن,positive
ئیوە خزمی باشن,positive
ئیوە خزمێکی خراپن,negative
تۆ کچێکی عەسەبی ,negative
تۆ کچێکی لەسەرخۆی,positive
تۆ زۆر باشی,positive
تۆ زۆر خراپی,negative
خۆش ئەژیم,positive
ئەو کورە زۆر جوانە,positive
ئەو کوڕە زۆر ناشرینە,negative
تۆ زۆر بۆن خۆشی,positive
پارەم پیە خەلەت ئەکەم,positive
کچیێکی جوان و ئاقڵی,positive
کچیکی ناشرین و کەری ,negative
کورێکی زیرەکی,positive
کورێکی تەمەڵی,negative
ئەمرۆ ڕۆژێکی زۆر خراپ بوو,negative
ماڵێکی بەڕێزن,positive
هاکا سولی زۆر خۆشە,positive
سپاست دەکەم,positive
ئەمڕۆ ڕۆژێکی زۆر خۆش بوو,positive
نێرگەلە کێش,negative
ڕەمەزان مانگێکی زۆر پیرۆز و خۆشە,positive
جەگەرە خۆر,negative
تۆ کەسێکی ڕیازیت,positive
پیاوێکی خراپی,negative
دەستنوێژ بگرە,positive
سلێمانی شارێکی خۆشە,positive
من زۆر باشم ,positive
ئێمە سەردەکەین و دەیبەینەوە,positive
دەموو چاو زۆر ناشرینە,negative
دەموو چاو و زۆر جوانە,positive
ژنێکی باشی,positive
ژنێکی خراپی,negative
ئەم کارە بێ هاوتایە,positive
تۆ دۆڕاوی ,negative
تۆ براوەی,positive
باوکت خراپە,negative
باوکت باشە,positive
ژیانێکی خۆش ئەژیم سوپاس بۆخوا ,positive
ژیانێکی ناخۆش ئەژیم ,negative
ئەو کچە شووی کرد ,positive
ئەو کچە شووی کرد ە کەسێکی باش,positive
ئەو کچە شووی کرد بە کەسێکی خراپ,negative
تۆ زۆر کۆنی,negative
ئەو ژنە بوکێکی خراپی هەیە ,negative
کاری باشە بکە,positive
ئەو ژنە زاوایەکی خراپی هەیە,negative
ئەو ژنە زاوایەکی باشی هەیە ,positive
پەروەردەیەکی خراپی هەیە,positive
ئەو ژنە بوکێکی باشی هەیە,positive
زۆر بێ هەستی,negative
زۆر بە هەستیت,negative
خۆشم دەوێیت,positive
ماڵی خاڵم کەسانی باشن ,positive
ماڵی مامم کەسانی خراپن,negative
دیزاینێکی زۆر باشە,positive
ماڵی پورم کەسانی لوت بەرزن ,negative
بڕیاردەرەکان دادپەروەرن,positive
ژیان زۆر خۆشە لەگەڵ کەسانی باش,positive
ژیان زۆر ناخۆشە لەگەڵ کەسانی خراپ,negative
تۆ زۆر ناشرینی,negative
تۆ زۆر جوانی,positive
من ڕقم لێرە نیە,positive
نارنج زۆر خۆشە,positive
شیکاری ڕاستت بۆ دەکەم,positive
ئێمە دەیدۆڕێنین,positive
خۆشەویستی زۆر پێویستە بۆ ژیان,positive
هەر قسە نازانیت,negative
زۆر قسەکردن باشنیە,positive
لەکۆتایدا هەموومان براوەین,positive
ئەڵێی گوڵی,positive
ئەڵێی گوڵیت,positive
لەگوڵ دەچیت,positive
لەگوڵ ئەچیت,positive
قوربان بم,positive
بەساقەوبم,positive
زۆر ناخۆشی,negative
زۆر خۆشی,positive
بەشداربوون لە هاکا سولی بردنەوەیە,positive
هاکا سولی زۆر گەرمبوو,positive
گرنگ سەرکەوتنە لە کۆتاییدا,positive
هەر بژیت سەرکەوتوو بن,positive
دەستت بشکێ,negative
ملت بشکێت,negative
تۆ راست ناکەی,negative
تۆ ڕاستت نەوت,negative
هەڵەت فەرموس,negative
هەڵەت فەرموو,negative
پاش ماوە فڕێمەدە,positive
پلاستیک بەکار مەهێنە,positive
برۆ بۆ قوتابخانە ,positive
خوێندنی ئەمڕۆ سوودی نەماوە,negative
هەرچیەک بکەی ناگەیتەوە بە من,negative
تا من هەبم تۆ دووەمی,negative
لە ئاست مندا نیت,negative
لە ئاست مندا نین ,negative
کەم مەخەوە,positive
زۆر بخەوە,negative